komentar,platform
"Pengabdi setan yang pertama baru nonton setengah film gak berani lanjutin , eh sekarang udah ada pengabdi setan 2 gak berani nonton nya",youtube
Kek film insidious sih menurutku,youtube
"Buat film :
pesulap vs dukun
Pasti laris manis",youtube
"Yg belum tau asal usul darminah nonton pengabdi setan jadul th 1980, dstu ada darminah tapi gak ada batara, s ps jokan ini batara hanya tambahan",youtube
"menurut gue, ttp jauh lebih serem pengabdi setan 1, nuansa horor jadulnya kerasa banget",youtube
Anak kos bilek: PENGEN MI INSTAN 2 rasa soto jan lupa🗿,youtube
"karena semuanya sudah canggih, wkwkwk jadinya filem horor jaman skarang kaga ada yg worth it deh, coba bandingin ""Beranak dalam kubur""nya suzana 1971",youtube
Bang .pengabdi setan 3 ..dihambalang aja ..biar lbh seruu,youtube
Yg buat suka sukaa bgt..1 tara basro. Yg ke2 opening bumper nya rapi film jadul pas pembukaan..memory bgt.. Selebihnya d luar espex trlalu maksa dan byk yg gk realyta...comedy nya garing.utk bahasa2 nya di era 80an gkkkkkk bgt. Gw msh sukaaaa bgt yg pertama..sama PTJ.. Best bgt. Nilai buat yg ini.... Maap gw banyak tedor...🤣🤣🤣🤣🤣🤣🤣,youtube
"udh nonton kmaren, jujur gak sebagus dan se seram film pertama nya sih ini... membosankan sorry to say.",youtube
"Setiap part nya, jantung Gue gemeter!",youtube
"KEREN BANGET NIH FILM, KEREEEN",youtube
Masih penasaran sama perempuan dan laki laki di ending film ini . Dia itu siapa si?,youtube
"Pas ntn film yg prtma srngh main gw tdur di bioskop nya, klo bkn bini gw yg mksa ngajak ntn ogah bgt buang2 duit ntn ginian",youtube
gaya trailernya mirip Insidious,youtube
Ga ramiii alias ga seruuuuu seruan gost writerr,youtube
"tenang bang masi banyakan komen positif, tp komen berbentuk kritik & saran juga diperlukan biar kedepannya lebih JOSS!",youtube
"biarin, aja bang mungkin mereka lagi ""halu"" aja jadi sutradara yg terkenal tapi ga ada modal nya hhehe🙏🏻",youtube
itu ustadnya kurang iman dan kurang pro kali yak,youtube
"Kurang iman lah ,kalo kiyai ngapain deket² sama cewe.
Liat aj di film munafik punya malaysia ustad nya pada mati, ternyata ustad nya? Korupsi? Penipu? Dan memuja iblis diem².",youtube
Mirip apa jauh banget,youtube
Hah? Mirip darimana 🤣,youtube
Kek uda nonton aja lu tong,youtube
" @sigitmarcopolo8004  au, menurut gw mah ini lebih jadul, soalnya kan di luar ruangan lebih keliatan daripada season 1 yg dirumah. trs bnyk foto putih abu abu dan rumah susun yg udh buluk",youtube
"why membosankan, ini kan lanjutan dari season 1 yg gantung.  juga keknya ada season 3 ntar",youtube
especially 3 anak cewe yg kegeprek lift😭,youtube
"Udah nonton yg pertama belum mba ? Mereka benang merah film ini , bisa dibilang darminah & Batara itu ketua nya pengabdi setan..(ini menurut ku lho yaaaa 😅)",youtube
 @astri5382  Iyap mnrt ku jg begitu,youtube
"Wkwk ga sanggup terlalu seram, milihnya ke horor comedy aja",youtube
 @salmanaman113  iya gue juga ketawa banyak nonton ghost writer,youtube
lah anjir,youtube
"Terima kasih, setelah jaman film kuntilanak, muncul film ini, great horror movie ever...",youtube
"Ko pada komenya harusnya ustadz menang, hadehh,  paaaan nih netizen agamis , klo semua film diakhir akhir HARUS  dateng ustadz sebagai HERO ya monoton atuh, aneh dan ga maju maju, ,",youtube
https://youtu.be/yrVkCLd8IwQ hereditary,youtube
pas adegan sujud .. mirip film Hereditary ga sih ?,youtube
Seruuuuuuuuu pokonya,youtube
Wuih ngeri ada Sugusnya alias Jumping Candy,youtube
Menit 1:24 di belakang siapa?,youtube
"Salut dengan proses pembuatannya dan para pemain pendukung yg Mau beradegan jadi mayat di tempat lokasi rusun yg lama khabarnya angker beneran, gak kebayangkan bagaimana mental orang2 yg terlibat di dalamnya.hanya saja ada pertanyaan kenapa peran ustadz baik di pengabdi setan jadul, 1 dan 2 selalu mati dan seolah2 matinya benar2 lgsung di tangan setannya sdg yg lain mati nya karena dorongan ketakutan yg membuat lengah dan celaka,seakan akan image peran ahli ibadah tdk berfungsi dlm kehidupan.
Maaf & Thx ya",youtube
"Film nya bagus cuma alur scene sholat n ustadz lbh baik tdk ditampilkan...kecewa bgt scene bagian itu sama aja ky ps 1..please degh apa maksudnya klo nampilin pemuka agama n ritual agama tp gak ada fungsinya ujung2 nya sm cara mistis ngadepin para saiton nya...
Nb. Klo buat yg ke 3 nya please degh lo gak usah bawa2 agama dan gw kira itu ok2 aja n ttp seru n lbh beretika!!!!",youtube
pengabdi setan 2 jadi standar baru perfilman horor Indonesia,youtube
Masih kalah serem sama yang jaman dulu,youtube
Kaya backsroom nga sih,youtube
Insidious much? Lol,youtube
"Jumpscare itu bukan horror. Jumpscare itu sendiri lebih ke reflex bertahan diri dari suatu hal yang mendadak muncul. Sedangkan horror itu bisa berupa hal yang sangat minim, tetapi berketerusan menjadi terror yang tidak terlihat. 

Sangat disayangkan aja Joko Anwar, dia itu potensi yang kuat, bisa membuat hal yang out the of box, tapi lebih nurut sama mainstream dari pada karya sesuai dengan visi dia",youtube
"Jujur dari hati film ini masih kalah dengan ""Perempuan Tanah Jahanam""",youtube
"Ini baru kualitas top, wajar kalo yang nonton banyak, bukan karena viral aja di sosmed tapi kualitas di bawah rata2, kasian yang udah beli tiket tapi ngerasa gak puas",youtube
"Baru nonton ,best sih tegang nya bukan krna jump scare aja",youtube
"Asliii semua tergabung dengan sempurna, udah nontonn tapi masih terngiang2 sampe kerumah, the best joko anwar",youtube
"Gak sabar mau nonton yang ketiga 
Pengen tau cerita alkisah kenapa sepasang suami istri itu dari 1955 masih hidup aja 😂",youtube
"Kemarin nonton ini gila sih bagus bgt, serem banget asli biasa nonton film horor B aja ini ampe gk berani nonton lagi,",youtube
temen rusunnya,youtube
"Ga seru dong klo ustadz dmn mna atau di semua film jadi hero, jadi kesanya kaya pilem super hero cuman herony ustad",youtube
"Pengenya semua film horor atau semua maslah apapun dengan sholat/ustadz terus selesai dan  langsung happy ending ya, atuh semua film ketebak",youtube
"Astiudin  lol liat di film munafik 1+2 
Ustad nya pada mati kenapa? Karena iman lemah? Hanya ingin uang? Dengki sama sesama? Memuja iblis diem² 
Pada akhirnya mati

Sama kaya di film barat pendeta nya hanya ingin uang aja dan gak bener² serius mati juga",youtube
"yakin kl misal pas adegan shalat trus hantu nya ilang, beres film nya...gak dikomen lagiiiii???",youtube
Lah knpe sih,youtube
"Ngerti komennya, tp coba nntn dulu film horror munafik 1 + 2 pasti abis itu paham maksud jokan adain pemuka agama di filmnya",youtube
Filmnya jadi boring ngab kalo alur cerita nya gtu gtu aja ga bakal maju perfileman indo,youtube
"hadeh kalo menurut teori gua kenapa ustad di ps pada kalah semua? yang ps 1 pas anaknya mati, ustadnya malah takut dan malah ga nolongin keluarga bapak. karena gamau ikut campur, padhaal kan dia ustad yang harusnya jauh lebih ngerti. sedangkan di ps 2, ustadnya terlalu meremahkan. memang secara teori benar apa apa harus kepada Tuhan. tapi dia lupa, harus ada iman yang harus di jaga. contoh kecil dia masuk ke rumah tari, yang jelas jelas gaboleh bertamu gitu, apalagi tari perempuan, sendirian, pake pakaian terbuka. harusnya kalo sebagai pemuka agama lebih paham lah sama aturan hal gitu. intinya memang pemuka agama, tapi imannya tipis.",youtube
"Benar"" menaikan level horor indonesia,",youtube
"Betul banget sih, gua gak pernah takut ama jump scare cuma kaget aja habis itu b aja.
Emang beda jump scare ama suasana/vibe horror, kalo jump scare cuma ngasih rasa takut yang beberapa detik udah ilang gitu aja.
Tapi kalo suasana horror yang bisa bikin penonton tergiang-ngiang akan kengeriannya pasti akan lebih seram.",youtube
" @13mriski99  Kebanyakan Warga +62 Ya gini, misinterpret Horror = Jump Scare. Joko Anwar, Dia kelihatan banget mencoba replikasi teknik James Wan (Insidious, The Conjuring) tapi yang ngebuat teknik ini ga work untuk horror itu kalau suatu hal serem bisa di antisipasi, cuman ngasih ketegangan tapi setelah nya ngilang aja. 

Sedangkan beda kalau horror yang mendadak muncul tanpa harus kaget kagetan, sekilas aja tapi ampuh, ga butuh ngangetin orang, cukup liatin hal yang ga bisa perkirakan, dimana orang antisipasi untuk Jump Scare dengan suara keras, malah ga jadi tapi digantikan oleh gambaran yang mengerikan tapi sekilas dan cuman disitu aja, biar ada variasi dan kreatifitas untuk yang lain.",youtube
"Tuntutan produser juga kayanya ini, yg gw tau film horor Jokan emang gak over soal Jumpscare tapi ini hmm...",youtube
"Yes film itu berhasil membangun suasana teror meski minim hantu dan jumpscare, teror sangat terasa apalagi opening itu",youtube
 @sipadi5735  soalnya genre nya thriller gak si?,youtube
Masih karya joko anwar kalau gak salah,youtube
"Bner nonton kkn, ivanna berasa nyesel beli tiket, sedangkan pengabdi setan udh 2x nonton saking bagusnya",youtube
"Btw yg ketiga itu akan rilis tayang bulan berapa kira"" bang?",youtube
" @misbakhulalam5285  kurang tau sih bang
Tapi kemungkinan lama lagi mungkin tahun depan paling cepat nya
Karna yg ps 1 ke ps 2 aja berjarak sekitar 5 tahun 😂",youtube
Review bangunannya ada di sini https://youtu.be/c9zNGTxB0n0,youtube
"Sekedar Informasi aja... 
Sekte Penyembah Setan itu real & mulai terkuak di Indonesia pada tahun 1890 - 1930an jauh sebelum masa kemerdekaan dimana adanya Orang Orang Eropa penganut Freemason yg bersekutu dengan Kaum Ningrat Jawa berpaham Kejawen, bukti otentik nya adalah bangunan bangunan jaman kolonial yg di sebut Loji yg tersebar di wilayah Semarang, Kudus, Magelang, Wonosobo,Pekalongan, Jogja & Kantor Walikota Solo...",youtube
yg namanya ada Joko emang gak kaleng2.....Mantaps Gara2 Film ini jd tau jg RUSUN MANGKRAS JAMAN PAK PRESIDENT GENDUT 2 PERIODE....WKWKW,youtube
Pangalengan lagi syuting pengabdi setan.,youtube
"Zombie dengan kearifan lokal, ntaaappss pak joko!!",youtube
Kalo menurut saya Tetep film horor Suzanna terbaik di Indonesia sejauh ini,youtube
saya yang kemarin nonton aja kecewa😁😁 nyambung alurnyaa kagak,youtube
"Ah saya tetep lebih sereman film pengabdi setan tahun 80an, film film horor sekarang serem sama musik nya🙏",youtube
Terimakasih JOKO ANWAR 🙏,youtube
B aja,youtube
"Kesini gara"" chanel BUCIN TV explore gedung ini.",youtube
"Aku udah nonton, seruuu , tegang, ada kocaknya dan ga berlebihan, seram juga, abis nonton ada bbrp part yg belum mudeng kenapa begini kenapa begitu, tapi Krn ga mau dibikin penasaran jadi langsung nonton konten2 yg berisi teori2 di PS2, kemudian dpt banyak lagi teori yg besaran di toktok, wehh ternyata serumit dan semenarik itu teori2nya, setelah tahu ternyata bagus banget ceritanya, sampe kepikiran kok bisa jokan bikin script serumit dan menarik unt diikuti, jadi bikin keinginan Unt nonton kedua ketiga keempat  kalinya,",youtube
"standart.., set up  ceritanya, latar belakang lokasi 11-12  dgn film horor yg sudah ada, itu itu aja, gak natural.. , andai saja set up nya bs spt film horor 80an macam Nini towok, atau Sundel bolong, pst lebih greget",youtube
Butuh crita tentang Ibu dan bapak waktu jd pengikut.,youtube
"apa lah film sampah gini dibuat.... masih bagus ipin dan upin, masih mendidik.",youtube
This is banger horror movie!!!,youtube
Udah nontonn,youtube
"Bagus,horornya dapat terus alur ceritanya ada, cuma kayaknya ada yg ke 3,jadi keluar dari biioskop agak ada yg kurang.",youtube
"HARAPAN SAYA DAN TEMAN²
SEMOGA ADA KELANJUTAN DARI FILM KEDUA INI. KAMI MASIH PENASARAN DENGAN SOSOK BATARA & DARMINAH.",youtube
Masih bagusan ps1.,youtube
Lah,youtube
"Ketikan anda jauh lebih sampah, kalo tidak bisa menghargai karya orang, lebih baik diam saja jangan nonton, BAD ATTITUDE 👎🏻",youtube
Wey sampah,youtube
Awokaowkaoeka,youtube
"Boni udah besar yah fan dia masih gondrong, nonton ah nanti malam",youtube
lbih trksan horor yg ps 1 apa ya tmptnya,youtube
Fix film terbaik thn ini,youtube
Filmnya gak bagus... PS 1 dan PS 2. Ustad kalah dengan Setan bikin Aagama jadi jelek.,youtube
"NONTON PS 1 BINGUNG, NONTON PS 2 MAKIN BINGUNG.. TU RUSUN SEBENERNYA APA SIH? MARKAS SEKTE ATAU TANAHNYA YANG BEKAS MARKAS SEKTE?.. TRUS TGL 17 APRIL ITU ADA APAAN, PENGANGKATAN RAJA, ARISAN SEKTE ATAU APA SIH?...KNP 2 DEDENGKOT SEKTE GA PERNAH TURUN GELANGGANG, BELAKANGAN DOANG MUNCULNYA KAYAK POLISI INDIA",youtube
kesini karna habis nonton filmnya dan masih amazed,youtube
parah ni film serem bgt,youtube
"Pengabdi setan 2 bener bener luar biasa.. Gua harap se-segera dan secepat mungkin ada lanjutanya yg ketiga karena masih misterius juga ending nya, lagi lagi 2 orang cowo dan cewe itu misterius banget dari film pertama nya, penasaran saja apa yg sebenar nya terjadi hingga se chaos ini..",youtube
"Pngen bgt nonton, tp tman pd sbuk.. 
Gk mngkin kan sndrian.. 😄😁",youtube
Kemarin nonton... Terus malam nya rumah mati lampu. Gilak semriwing bulu kuduk berdiri hahha.. Aura horor kebawa sampek rumah,youtube
Film  nya serem banget guys dan Menyeramkan,youtube
Udah nonton... Kasian yah setiap ustadz di film ini mati semua 😅,youtube
Mau nonton tapi gue penakut tp pengen😭,youtube
Adegan yang paling memorable adalah percakapan antara Rini Toni Dan Bondi yang ngebahas gigolo dari PS 1-2 ada aja pembahasan receh itu🤣🤭,youtube
Gua udah nonton.. Kebanyakan merem.y daripada meleknya.. 😫😫,youtube
"Epic emang filmya, cuma yang saya engga sreg dari ps 1 dan 2 knapa tokoh ustadz selalu dimatikan dengan cara tragis, maksudnya apa sih? Klo emang ustadz engga berperan dalam pengusiran setan setidak engga perlu lah scene ustadz dibantai setan, tlong lebih dicermati lagi hal2 yg ky gini. So far kereen filmnya, satu2nya film horror Indo yg sya tonton",youtube
Apa yg disayangkan di banyak film Indonesia adalah soal properti termasuk properti dari karakter hantu yg tidak terlihat natural. Kesannya terlihat barang/ bahan baru yg dibuat usang tapi masih keliatan tidak alami. Soal angle kamera dan akting juga tidak senatural film luar. Hanya sekedar kritik sebagai seorang penikmat film.,youtube
Kami cuman bisa nonton di Youtube saaja sebab kami gak ada Bioskop terdekat 😂🤣,youtube
The best dah nih film. Filmnya gantung semua. MARVELnya Indonesia tp versi setan Indonesia haha,youtube
Di bioskop Ada subtile English ngk sih?,youtube
"Agama agama, lu mau nonton bioskop atau nonton ceramah sih😅",youtube
agama itu sesuai dengan keyakinan dan keimanan lu sendiri. kalo dari film aja lu nilai keimanan dan kegamananmu jelek ya berarti dari diri lu sendiri. ngapa jadi nyalahin film,youtube
Lawak,youtube
Judul lagu nya apa bro,youtube
Terus ustadz harus selalu menang gitu lawan setan?,youtube
Lawack deck,youtube
"lah ustadz kan juga manusia biasa... gak suci 100% , ada yg imannya lemah. film luar negeri lain juga pemuka agamanya ada yg kalah gini2 dah biasa",youtube
ngga,youtube
Ada subtittle thailand,youtube
Mandarin,youtube
"Ini baru film horor berkualits,tidak ada unsur adegan dewasa",youtube
Tp jujur gw malah ngantuk loh di film petan ke 2 ini... Cerita nya ga sebagus yg pertama... Yg kedua ini kek nya memang sengaja dibikin bingung... Ending jg ga jelas... Ga klimaks... Biasalah style sequel... Biar dibuat orang bertanya tanya dulu... Biar ada ibu setan 1 2 3 4 5 nya...,youtube
"Seru, settingan film jaman jadul. Gw lebih suka jadulnya daripada horornya",youtube
"NOT RECOMMENDED ini film gak ada serem2 nya, ada jg pocong ngelahirin dr mulut lawak",youtube
"Seru cuy filmnya, tapi lebih sereman pengabdi setan 1",youtube
"Sebenarnya saya setuju sih dengan adanya petrus lagi di era sekarang ini.. Terlalu banyak sampah masyarakat, preman, manusia homo, tukang palak, tukang parkir maksa, dll.. Habiskan aja mereka, mayat bisa diolah untuk pakan ternak.. Masyarakat tenang",youtube
"BTW ini rusun yg dibahas sama cahnel bang Hirotada Radifan kali ya
. segmen temen cerita yg ngalami, asli serem bgt.. sama"" lt.7 dan terbengkalai juga",youtube
Sabi sih,youtube
"dukung terus karya anak bangsa, smg makin maju film2 indonesia. tp mohon maap, bwt gw gak seserem yang diceritain orang2 ah, biasa aja. :))",youtube
kalo menurut saya jauh api dari bara... jauh yg pertama dgn yg kedua... kali ini menurut saya menang di promo dan influencernya,youtube
"Bunda ud ntn
B AJA malah bunda ktdran nontonx
Berlebihan yg bilang ini serem
Ihhh mmg penonton alay",youtube
"Semoga di PS berikutnya adegan Darminah Batara kudu dibanyakin, adegan Rini fam dikurangin. Penyeimbangan soalnya.",youtube
"ending nya gitu terus dua setan muncul di akhir cerita biar ada lanjutan nya sampai ps 1000 ngikuti jejak tersanjung . 
sekarang judul topik nya rusun . ke tiga apa ? apa di perumahan ? atau apartemen",youtube
Udh nonton d bioskop pokoknya menyeram kan menegangkan mantap,youtube
"Baru aja nonton PS2, baru kali ini nonton horor indonesia sampai merinding, mas joko anwar keren bawa adrenalin film ini, setting lokasi, efek sinematik, detail properti settingan tahun 80-an cool abiss. Memang bikin penasaran endingnya, tapi thats ok...pemainnya hebattt.congratulation, the best indonesia Horor movie ever.🏆👍👍👍",youtube
"Barusan habis nonton di bioskop, so far saya lebih suka yg pertama. Lebih kebawa suasananya. Lbh seram menurut saya",youtube
"Bnyak yg ga nyambung, nyesel deh,katanya sih bakal ada part selanjutnya,bagi gua sih kurang banget,penjelasan yg ada di cerita nya pun semua loncat"",gua mikir ini cerita udah di potong atau GI mna ya, soalnya semua dari scan Kya ada yg di potong",youtube
"Seremnya setengah2..
Jln ceritanya juga nanggung..
Sayang sekali 😓",youtube
"Nih penampakan asli rusun pengabdi setan 2 langsung di explore malam hari live YouTube 
https://youtu.be/2MWLb0kykCg",youtube
"Dari pada kkn mending ini, kkn film ga jelas",youtube
💯,youtube
Mantab,youtube
Typing bunda masih lebih alay sih,youtube
 @wildflowman  yg sopan ama org tua ya anjeng,youtube
"Ya jelas ga serem ,lu kan tidur bangsat",youtube
Ini lebih dalem ceritanya,youtube
" @crazinessnword212  iyaah, klau kkn film ga jelas",youtube
versi cut dan uncut,youtube
Film nya B aja🙂,youtube
majulah film lokal,youtube
"Udah ntn berharap yg ke3 g selama yg ke2
Ckp 2 tahun aja nunggunya
Btw bagus sih
Beneran ditrailer kena boongin aja
Wkwkwkkw",youtube
The Medium nya Indonesia,youtube
Serasa nonton film azab ind*siar. Wkkk,youtube
"Salah satu yang membuat saya bahagia ialah, akhirnya mereka memutuskan menggunakan bumper Rapi Films era 1970-1980an di bagian pembukanya 😁",youtube
"Salam dari Malaysia 🇲🇾🙋🏻‍♂️
Tak sabar nak tengok movie ini tayang di Malaysia,dulu tengok pada tahun 2017 Pengabdi Setan 1 & sekarang Pengabdi setan 2 pula,BRONT PALARAE actor dari Malaysia,perlakon terbaik itu juga..
Di malaysia kebanyakan keluar panggung wayang movie indonesia kebiasaan Horror lah .Golden Screen Cinema Malaysia support All movie Hollywood-Bollywood-Thailand-China-Japan-Indonesia&Korea",youtube
Beneraan ini epic bangeet aku udaah nontoon bener2 gak lebay bukan horor murahan!! Sumpah endingnya bikin penasaran bangett udh ketebak pasti bakal ada PS3 inii gak sabar buat nungguin!! Wajib banget nonton harusnya sih ini lebih booming drpd film horror azab yg ituu,youtube
"Nontonnya bikin degupan jantung makin kuat. Kaki dingin seolah ada yg megangin. Tp penasaran, mata gk mau menyia""kan film ini. Kereeeeen...pokoknya 👍👍",youtube
"Jujur,, aku lebih suka PS yg ke 1, dari pada yg ke 2, kmaren nonton dibioskop berharap memenuhi bayangan aku, bklan seru bgt kek PS 1 eh tanyata, di ke 2 ini, malah kbanyakan Jumpscare nya anjir, jd klo org keseringan di jump scare bkalan b aja, trus jujur ENDINGNYA GANTUNG BANGET🙂 Si kake tua yg datang ke dusun itu.., dia blm ngejelasin secara rinci alasan dia dtng ksana, mungkin sdikit terjawab dibagian nyelamatin si rini, sama adiknya, tapi itu gak ngejelasin intinya apa😭 trus org 2 yg dansa di ending apaan, gue gangerti 🙂 plis gjls masih gantung, gadapet kesimpulan nya😞",youtube
Sepintas mirip Insidious . Suka banget pokognya,youtube
Setuju pengandi setan 3 rilis tahun depan  💪,youtube
10% horor 90% Jumpscare asyyuu...,youtube
Kemarin dah nonton . 50k buat nonton bioskop film sebagus ini tetep bikin candu . Nunggu banget season 3 nya,youtube
"idenya bagus, topiknya bagus, tetapi alur ceritanya tidak cermat dan tidak logis, kadang cerdas, adegannya banyak yg tidak berkelanjtan, apa, mengapam dan bagaimana nya tidak  jelas.",youtube
"Udah paling mantep nonton film horor tuh sama pasangan, biar kalo ada scene yang buat kaget ada yang dipeluk 😁",youtube
Gilaaa sih ini film nya horor banget.. Horornya naturallll banget.. Ga pake setan yg seremmm seremm gtu.. Tapiiii serem nya dapettttttt bangetsss..,youtube
"Ini baru film horror, parah woy nongtong ini capek bgtt jantung",youtube
"Nonton tgl 5 Agustus kemaren, dan tadi malem, 7 Agustus aku mimpi baju terbang kayak scene jubah ibu yang dilempar ke air terus jubahnya terbang😅",youtube
Ditunggu part 3nya,youtube
Bukan seleramu,youtube
JAUHHHHHHHHHH BANGETTTT COKKKKK,youtube
KKN NOH AZAB INDOSIAR,youtube
Ps2 film pertama di asia yg di imax yg lain lewatt,youtube
Bukanya KKN? Zina diazab,youtube
jd berasa nonton film jaman Suzanna,youtube
"Saya kelahiran tahun 2001, tapi menurut saya Bumper era 1900an ini jadi ngepas banget gak sih sama vibes film nya ? wkwkwk",youtube
 @fannan_17 betul banget hahahaha,youtube
"Nah, iya",youtube
Liat dibioskop lngsung atau dr hp kak,youtube
 @desyana7408  di bioskop ka,youtube
Oke mksh kak,youtube
Kalo gua tangan dingin ama merinding pas adegan terakhir yang lampu kelap kelip tuh,youtube
justru dari pertanyaan itu yg nantinya kemungkinan besar bakal diterusin ke film ketiganya,youtube
" @haexpi  tapi sekuel Pengabdi setan 2 terasa disia-siakan banget kaya wahana jumpscare padahal film pertama bagus parah, pengabdi setan 2 ini terasa maksa untuk dibuatkan sampe ke 3 akhir dari cerita ini, sayang banget sih",youtube
Itu anda gngerti makanya bilang kurang suka,youtube
Tonton minimal 5 kali ya biar jelas wkwk,youtube
 @akashiwana7083  wwwkwkwk 🤣,youtube
 @akashiwana7083  au au au 5 kali,youtube
"Nnton lagi mas, dan bisa di sebutkan mana yg tidak jelas ? Mana yg tidak berkelanjutan? Apakah masnya nnton yg pertama juga ?",youtube
 @Kahensss  baru nonton 1 kali mas bro,youtube
" @Kahensss  adegan yg tidak berkelanjuta, saat seorang mahasiswi (pameran utama) kulian terus didekatti oleh dosen wanita, dan adegan itu sampai 2 kali, dosen itu mengharap si mahasiswa berangkat ke Belanda, .. kenapa adegan itu dimunculkan, kelanjutannya apa, apa dosen itu termasuk anggota pengabdi setan.   Yang kedua, adegan pemeriksaan ruang pr ruang, knapa jadi aneh ketia setiap ruang ada mayat mayat yg sudah dibungkus dengan kain kafan, terus sispa yang membungkus, kan penghuni sepi, kecuali pak ustad dan kelompok remaja. Lagi ada adegan gadis kecil yg selamat dari lubang ketika ada lift rusak dan jatuh, 3 temannya mati, kok dia jadi berani sendiri menjaga mayat kedua ortunya dan sudah dibungkus kain kafan. Anak sekecil itu apa gak panik, nangis terus cari orang banyak, knapa gak ikut mengungsi.  Atau memang benar, saya harus nonton 5 kali, he he he. Mohon maaf seblumnya. Tapi bagus ide dan topiknya.",youtube
Mantap,youtube
Rusun Caman Kalimalang  wkwkwkwkwkwkwkwk  Apanya  yg seremm woyy... Pngelolanye kabur duit gw bablas,youtube
Apa cuma gw yg ga ngerti ceritanya,youtube
"Belom bisa move on woiii sumpah demi Allah kerennnnnnnnnnn mo nangis , film horor terkeren di indo 😭😭",youtube
ngantuk,youtube
"Bener-bener ya ni film gilak abis, serasa naik roller coaster jantung kita ga dibuat aman per scene. Aku nnton di malem jum'at tgl 4 biar vibes horornya kerasa dan bener sampe kebawa mimpi setelah nnton nih film! JOKO ANWAR MANTAPPP 🔥",youtube
sumpah ini art directornya makannya apa sihh kokk bisa jagoo bangett 😭😭.,youtube
Suka banget vibes 90 an yang ada di film nyaaaa. So proud!,youtube
Maksud ku ini conjuring versi indo,youtube
"Mungkin karena aku ga nonton film pertamanya jadi ga ngerti, cerita nya berbelit belit dan sulit difahami, untuk aku ga dapet horror nya",youtube
"Ini dia nih Joko Anwar, si James Wan versi Indonesia",youtube
Gantuuung,youtube
"Filmnya bagus cuman tetep agak kecewa dengan sekuel keduanya. Jujur ""communionnya"" kurang dapet. Soalnya mungkin ekspektasi kayak Midnight mass communionnya,ntapi tetep bagus buat ditonton. Semoga ada lanjutannya yang ketiga",youtube
"Kalau boleh saran..Tolong dong tokoh Ustadnya diganti sama tokoh dukun saja..Karena bagi saya kurang pas saja sih, Seorang Ustad yg sangat percaya kepada Tuhan, dan sering meyakinkan kepada orang lain agar tidak usah takut dengan setan, takutlah hanya kepada Tuhan (itu ajaran benar), tapi kok ustadnya malah mati di bunuh setan..Seakan-akan tidak ada wibawahnya Ustad difilm ini..Makanya ganti perannya sama Dukun, karena lebih pas dan skrg juga banyak dukun ngaku sakti tapi saktinya cuma trik..filmnya sih ok bisa bikin penasaran dan akan nunggu kemunculannya lagi untuk Pengabdi Setan 3..Cuma sekali lagi peran ustadnya diganti peran orang pintar/dukun..Terima Kasih..",youtube
kitu we..,youtube
Setelah menonton langsung saya merasa lebih menegangkan yg pertama. Tapi secara cerita bagus dan kaya nya bakalan ada yg ke 3 ni karna cerita akhir nya masih mengantung 😃😃,youtube
Apa judul lagu jadul pengiring Pengabdi Setan 1 dan 2? Dan siapa nama penyanyiNya? Kenapa beliau nggak pernah muncul ya? Apa sdh meninggal dunia,youtube
baguss bgt filmnyaa gilakkkkk kerennn,youtube
"Entah kenapa tiap film jokan selalu ga cukup untuk ditonton sekali aja, filmnya bikin nagih buat ditonton berulang-ulng, selain ingin lebih menikmati adegan horor dimana kalau nonton sekali ja gak cukup woii, pingin puas menikmati scene per scene horornya, juga ingin lebih mengerti lagi jalan ceritanya, mungkin di kali pertama nonton ada adegan yg kelewatan, gue baca baca review dan komen, katanya ada foto Wisnu di KAA 1955, dan gue ga lihat itu, makanya gue pingin ulang lagi nonton tapi apa daya keknya ga bisa Krn kesibukan, alamat nunggu di Netflix atau di Disney buat nonton ulang",youtube
"Merinding Sama Lagunya,
KELAM MALAM 😐",youtube
Ya lu blom nonton,youtube
nonton yg kesatu dlu harus,youtube
"Harus pinter biar ngerti, emg tipe film joko anwar gini,",youtube
Trmkasihh,youtube
80s actually,youtube
Harusnya SMP dulu baru bisa masuk SMA,youtube
Wkwkwkw dj yang ketiga nanti bakal kyai mungkin,youtube
Emg ustadz ga boleh kalah sama setan?,youtube
Wkwkwkwkw..Lucu..🙂🙂🙂🤣🤣🤣,youtube
"Takut bgt kena sentil masalah keimanan 😂  padahal dari kapan tau pastur dll banyak diadegan kan mati gara gara  setan 😂 lagian kan tingkat ilmu beda beda ga semua tinggi, lagian di film ini pun ceritanya ini tokoh kiyai (kampung) biasa.. ga harus putih itu menang hitam slalu kalah",youtube
"judul lagu pengabdi setan 2017 kelam malam, pengabdi setan 2 rahasia dendam tapi belum dirilis",youtube
"bagus banget filmnya, menurut ku ceritanya lebih kompleks dari PS1, seramnya memang lebih seram PS1 tapi ini juga seram banget, bbrp adegan bikin deg-degan sangking takutnya, ada jg adegan yg bikin woww kok bisa sih? pokoke PS2 termasuk the best Indonesian horror",youtube
"Seru, tegang ada lucunya juga pokoknya sukses untuk pengabdi setan 2.",youtube
Vibesnya kok kaya nton insidious or conjuring yak..,youtube
Keinget vecna ada bunyi2 jam 🥲,youtube
ga gagal sih ini film super epic banget tiap detik nya menurut gw meski endingnya sengaja digantung²in wkwk,youtube
G sabar ni buat nntn pengabdi setan 3,youtube
